@relation name

@attribute avg_hover_time numeric
@attribute arrival_time numeric
@attribute clicks numeric
@attribute clickthroughs numeric
@attribute hovers numeric
@attribute unclicked_hovers numeric
@attribute max_hover_time numeric
@attribute cursor_trail numeric
@attribute cursor_movement numeric
@attribute cursor_speed numeric
@attribute position numeric
@attribute relevance {bad,good}

@data
0.063192,1,0,0,1,1,0.063192,83.003846,0.01123,1,10,bad
0.111582,0.477272,0.016667,0.016667,0.737018,0.983333,0.096176,137.953314,0.028704,0.241019,7.8,bad
0.496527,1,0,0,0.5,1,0.496527,182.665219,0.466102,0.405957,24,bad
1,1,0.181818,0,1,1,1,194.040167,0.355871,1,3,good
0.695323,0.267801,0.166667,0,0.545455,1,0.727564,291.248869,0.565821,0.944032,8,bad
0.601298,0.376856,0,0,0.574282,1,0.690613,82.660655,0.373109,0.086833,7,bad
0.245109,0.59103,0.029412,0.058824,0.804452,0.941176,0.209005,151.918086,0.51781,0.297219,7,bad
1,0.143935,0.333333,0,0.75,1,1,71.546972,0.098115,1,3,bad
0.276551,0.012049,0,0,0.666667,1,0.316147,78.635366,0.697961,0.028178,8,bad
1,1,0.026042,0.03125,1,0.96875,1,190.611265,1,1,1,bad
0.180087,0.439082,0,0,0.833333,1,0.201329,152.084506,0.424624,0.095013,10,bad
1,0.097194,0,0,1,1,1,1,1,0.000029,12,bad
0.134181,0.580686,0,0,1,1,0.134181,222.852872,0.151337,0.077513,2,bad
0.051962,1,0,0.5,0.967337,0.5,0.080544,190.87752,0.048123,0.218209,8,bad
0.294701,0.006198,0,0,0.666667,1,0.297414,107.283098,1,0.482231,17,bad
0.835219,0.033449,0.333333,0,0.666667,1,0.956804,145.540544,1,0.068546,23,bad
0.672635,0.492436,0,0,1,1,0.916169,310.513305,0.311358,1,0,bad
1,1,0.009804,0.005882,1,0.994118,1,244.330619,0.762931,0.698244,0,bad
1,1,0,0,1,1,1,256.913072,1,1,6,bad
0.262631,1,0.011364,0.164773,0.819908,0.835227,0.226434,187.617799,1,0.053759,3.272727,bad
0.315163,0.817651,0.155172,0.017241,0.851157,0.982759,0.267438,139.861704,0.79881,0.359336,4.862069,bad
0.218191,0.425007,0,0.038462,0.778968,0.961538,0.168567,101.12061,0.395817,0.827206,9.230769,bad
0.43808,0.390269,0.057407,0.037037,0.994575,0.962963,0.705207,177.327728,0.721773,0.075696,2,bad
0.226963,0.3419,0.014706,0.058824,0.819062,0.941176,0.177127,86.246636,0.679583,0.150047,7.176471,bad
1,0.152641,0.036232,0,0.825537,1,1,101.455803,0.557241,0.045525,5.956522,bad
1,1,0.071429,0.071429,1,0.928571,1,248.248968,1,1,0,good
1,1,0.25,0.083333,1,0.916667,1,223.918731,1,1,4,bad
1,1,0.25,0.25,1,0.75,1,66.679964,1,1,58,bad
0.507989,1,0,0,0.090909,1,0.11627,44.204072,1,0.039315,4,bad
